575.5,77,70,0.5,2
576,47,52,3.5,1
576,50,54,1,0
576,55,57,1,0
576,59,59,1,0
576,62,61,4,2
576,79,71,2.5,2
577.5,50,54,1,0
577.5,52,55,1,0
577.5,55,57,1,0
577.5,59,59,1,0
578.5,77,70,0.5,2
579,50,54,1,0
579,55,57,1,0
579,59,59,1,0
579,76,69,0.5,2
579.5,74,68,0.5,2
580,48,53,1,0
580,48,53,5.33333,1
580,52,55,1,0
580,57,58,1,0
580,60,60,1,0
580,64,62,3.75,2
580,72,67,0.5,2
580.5,69,65,0.25,2
581,69,65,0.25,2
583,48,53,1,0
583,52,55,1,0
583,57,58,1,0
583,60,60,1,0
583.5,64,62,0.5,2
584,48,53,1,0
584,52,55,1,0
584,57,58,1,0
584,60,60,1,0
584,72,67,0.25,2
584.5,69,65,0.25,2
585,69,65,0.25,2
