129.5,38,47,0.25,1
129.5,60,60,0.5,2
129.5,60,60,0.5,3
129.5,64,62,0.75,2
129.5,67,64,1.25,2
129.5,72,67,0.5,0
129.5,72,67,0.5,6
129.5,76,69,0.75,6
129.5,79,71,1.25,6
129.5,84,74,0.16667,5
129.66667,74,68,0.16667,0
129.66667,86,75,0.16667,5
129.75,36,46,0.25,1
129.83334,59,59,2.16666,3
129.83334,84,74,0.16666,5
130,35,45,1,1
130,71,66,2,0
130,71,66,2,6
130,83,73,0.16667,5
130.5,64,62,0.75,2
130.5,76,69,0.75,6
131,67,64,1.75,2
131,79,71,1.75,6
131.5,36,46,0.25,1
131.5,64,62,0.75,2
131.5,76,69,0.75,6
131.5,83,73,0.16667,5
131.75,35,45,0.25,1
131.75,72,67,0.16667,0
131.75,83,73,0.16667,5
131.75,84,74,0.16667,5
132,33,44,1.5,1
132,57,58,2,2
132,69,65,2,0
132,69,65,2,6
132,81,72,1.16667,5
132.5,64,62,0.75,2
132.5,76,69,0.75,6
133,67,64,3.5,2
133,79,71,3.5,6
133.5,35,45,0.25,1
133.5,64,62,0.75,2
133.5,76,69,0.75,6
133.5,81,72,0.16667,5
133.66667,71,66,0.16667,0
133.66667,83,73,0.16667,5
133.75,33,44,0.25,1
133.83334,81,72,0.16666,5
134,31,43,1.25,1
134,59,59,2,2
134,71,66,2,6
134.5,64,62,0.75,2
134.5,76,69,0.75,6
135.5,38,47,0.5,1
135.5,64,62,0.75,2
135.5,74,68,0.5,0
135.5,76,69,0.75,6
135.5,86,75,0.5,5
136,36,46,1.25,1
136,60,60,2,2
136,72,67,2,0
136,72,67,2,6
136,84,74,0.16667,5
136.5,64,62,0.75,2
136.5,76,69,0.75,6
137,67,64,1.75,2
137,79,71,1.75,6
137.5,38,47,0.25,1
137.5,64,62,0.75,2
137.5,76,69,0.75,6
137.5,84,74,0.16667,5
137.66667,74,68,0.16667,0
137.66667,86,75,0.16667,5
137.75,36,46,0.25,1
137.75,84,74,0.16667,5
138,35,45,1.25,1
138,59,59,2,2
138,71,66,2,0
138,71,66,2,6
138,83,73,0.16667,5
138.5,64,62,0.75,2
138.5,76,69,0.75,6
139,67,64,1.75,2
139,79,71,1.75,6
139.5,36,46,0.25,1
139.5,64,62,0.75,2
139.5,76,69,0.75,6
139.5,83,73,0.16667,5
