123.5,55,57,0.25,0
123.5,65,63,0.5,0
124,46,52,0.5,0
124,70,66,0.5,0
124.5,51,55,0.5,0
124.5,63,62,0.5,0
125,55,57,0.5,0
125,58,59,0.5,0
125.5,56,58,0.5,0
125.5,68,65,0.25,0
126,62,61,0.5,0
126,74,68,0.5,0
126.5,63,62,0.5,0
126.5,63,62,0.5,0
126.5,75,69,0.5,0
127,58,59,0.25,0
127,67,64,0.25,0
127,70,66,0.5,0
127,82,73,0.5,0
127.5,65,63,0.25,0
127.5,68,65,0.5,0
127.5,68,65,0.5,0
127.5,80,72,0.5,0
128,48,53,0.25,0
128,63,62,2,0
128,67,64,0.25,0
128,75,69,2,0
128.5,55,57,0.25,0
129,56,58,0.5,0
129.5,36,46,0.5,0
129.5,55,57,0.25,0
130,48,53,0.5,0
130.5,55,57,0.5,0
130.5,68,65,0.5,0
131,56,58,0.5,0
131,67,64,0.25,0
131,75,69,2.5,0
131,87,76,2.5,0
131.5,55,57,0.25,0
131.5,65,63,0.5,0
132,46,52,0.25,0
132,70,66,0.25,0
132.5,51,55,0.25,0
132.5,63,62,0.25,0
133,55,57,0.25,0
133,58,59,0.25,0
133.5,56,58,0.5,0
133.5,68,65,0.25,0
133.5,74,68,1.5,0
133.5,86,75,1.5,0
